actual,top1,top1_prob,top2,top2_prob,top1_hit,top2_hit,confidence,conf_bucket
"(1, 1)","(1, 0)",0.35535903931514584,"(0, 0)",0.26575527080048894,False,False,75.0,>65%
"(2, 1)","(0, 0)",0.32109189172119373,"(1, 0)",0.29989127410821576,False,False,75.0,>65%
"(1, 0)","(1, 0)",0.3017456842863437,"(2, 0)",0.27110160148470175,True,True,75.0,>65%
"(1, 0)","(0, 0)",0.48469780790490236,"(0, 1)",0.25068333640803914,False,False,75.0,>65%
"(1, 0)","(1, 0)",0.2596134554661613,"(0, 0)",0.24683686904944657,True,True,75.0,>65%
"(1, 0)","(0, 0)",0.42714588178739193,"(1, 0)",0.23898794449587207,False,True,75.0,>65%
"(1, 0)","(2, 0)",0.2517993504242211,"(1, 0)",0.22717990349514286,False,True,75.0,>65%
"(1, 0)","(0, 0)",0.402923714502116,"(1, 0)",0.2975250515188151,False,True,75.0,>65%
"(3, 1)","(1, 0)",0.28653467653383996,"(0, 0)",0.2731946961980385,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.29274741580991553,"(1, 0)",0.25046449974209867,False,False,75.0,>65%
"(1, 0)","(1, 0)",0.30997262309462814,"(0, 0)",0.25518979527324154,True,True,75.0,>65%
"(1, 0)","(0, 0)",0.3740097013547295,"(1, 0)",0.21392280604640765,False,True,75.0,>65%
"(2, 0)","(0, 0)",0.39895963981959937,"(0, 1)",0.24041360751895816,False,False,75.0,>65%
"(1, 0)","(0, 0)",0.32169032316910656,"(1, 0)",0.3065871848766891,False,True,75.0,>65%
"(2, 1)","(0, 0)",0.268608716778977,"(1, 0)",0.22272872679023675,False,False,75.0,>65%
"(2, 1)","(0, 0)",0.4391848339092656,"(1, 0)",0.2779502885038094,False,False,75.0,>65%
"(1, 0)","(1, 0)",0.2627371589164652,"(2, 0)",0.2168442084522356,True,True,75.0,>65%
"(1, 1)","(0, 0)",0.33121321887039823,"(1, 0)",0.23903925689664235,False,False,75.0,>65%
"(1, 0)","(0, 0)",0.31278877950307893,"(1, 0)",0.21482708589211064,False,True,75.0,>65%
"(0, 0)","(0, 0)",0.333834616999729,"(0, 1)",0.25119880375414677,True,True,75.0,>65%
"(0, 1)","(2, 0)",0.2837047279983503,"(1, 0)",0.2319783109965213,False,False,75.0,>65%
"(0, 0)","(0, 0)",0.5274042182701453,"(0, 1)",0.2232603593305253,True,True,75.0,>65%
"(0, 1)","(0, 0)",0.5837840839932996,"(1, 0)",0.31434768763071164,False,False,75.0,>65%
"(1, 1)","(0, 0)",0.3656154815819752,"(1, 0)",0.24095922133467765,False,False,75.0,>65%
"(0, 1)","(0, 1)",0.24005333614165789,"(1, 1)",0.2155966265877112,True,True,75.0,>65%
"(1, 0)","(2, 0)",0.27981728224747604,"(1, 0)",0.27124924044112253,False,True,75.0,>65%
"(0, 1)","(0, 0)",0.27714045890756095,"(1, 0)",0.26477672913604616,False,False,75.0,>65%
"(1, 1)","(1, 0)",0.3255924363673112,"(2, 0)",0.25673985901302465,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.2943110884853134,"(1, 0)",0.2942427315467467,False,False,75.0,>65%
"(2, 0)","(0, 0)",0.4659790663349675,"(1, 0)",0.2817090048933485,False,False,75.0,>65%
"(0, 0)","(1, 0)",0.27130096393788705,"(0, 0)",0.2560820884892792,False,True,75.0,>65%
"(0, 0)","(0, 0)",0.36978957981103094,"(1, 0)",0.3269777086663861,True,True,75.0,>65%
"(0, 0)","(0, 0)",0.3163163331116348,"(1, 0)",0.26654743035816847,True,True,75.0,>65%
"(1, 0)","(0, 0)",0.3234660771981546,"(0, 1)",0.29660418436254765,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.270294511290767,"(0, 1)",0.2216620991931775,False,True,75.0,>65%
"(2, 0)","(1, 0)",0.2763668661765288,"(0, 0)",0.27264329211796506,False,False,75.0,>65%
"(2, 1)","(0, 0)",0.4450035466777934,"(1, 0)",0.2356569872584972,False,False,75.0,>65%
"(1, 2)","(1, 1)",0.24041822817990574,"(0, 0)",0.2276466061060004,False,False,75.0,>65%
"(2, 1)","(0, 0)",0.5358140329646459,"(1, 0)",0.18377350100007678,False,False,75.0,>65%
"(2, 0)","(1, 0)",0.26345085920830824,"(2, 0)",0.20761308840394216,False,True,75.0,>65%
"(0, 0)","(1, 0)",0.2939334958640916,"(2, 0)",0.23057561372655871,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.5788038846327352,"(0, 1)",0.23432272222683245,False,True,75.0,>65%
"(0, 0)","(1, 0)",0.33364018578281085,"(0, 0)",0.3022883966966807,False,True,75.0,>65%
"(0, 0)","(0, 0)",0.4293560482646669,"(1, 0)",0.36378474123258275,True,True,75.0,>65%
"(1, 0)","(1, 0)",0.28922206062702616,"(0, 0)",0.2428234583685192,True,True,75.0,>65%
"(0, 1)","(1, 1)",0.238903287892213,"(0, 0)",0.23833357346735876,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.345258199968697,"(1, 0)",0.3041817285929472,False,False,75.0,>65%
"(0, 0)","(0, 0)",0.36124675236851117,"(1, 0)",0.303601645890662,True,True,75.0,>65%
"(0, 1)","(1, 0)",0.3106129421485847,"(2, 0)",0.23247600227068554,False,False,75.0,>65%
"(0, 1)","(0, 0)",0.24429612828391398,"(1, 0)",0.22632016935546045,False,False,75.0,>65%
