actual,top1,top1_prob,top2,top2_prob,top3,top3_prob,top1_hit,top2_hit,top3_hit,confidence,conf_rank
"(1, 1)","(1, 0)",0.35535903931514584,"(0, 0)",0.26575527080048894,"(2, 0)",0.2375870974122389,False,False,False,75.0,0.51
"(2, 1)","(0, 0)",0.32109189172119373,"(1, 0)",0.29989127410821576,"(2, 0)",0.15286113454545397,False,False,False,75.0,0.51
"(1, 0)","(1, 0)",0.3017456842863437,"(2, 0)",0.27110160148470175,"(0, 0)",0.18155683491609678,True,True,True,75.0,0.51
"(1, 0)","(0, 0)",0.48469780790490236,"(0, 1)",0.25068333640803914,"(1, 0)",0.1223687220738538,False,False,True,75.0,0.51
"(1, 0)","(1, 0)",0.2596134554661613,"(0, 0)",0.24683686904944657,"(1, 1)",0.194029589236187,True,True,True,75.0,0.51
"(1, 0)","(0, 0)",0.42714588178739193,"(1, 0)",0.23898794449587207,"(0, 1)",0.15676910041722084,False,True,True,75.0,0.51
"(1, 0)","(2, 0)",0.2517993504242211,"(1, 0)",0.22717990349514286,"(3, 0)",0.17601139500103544,False,True,True,75.0,0.51
"(1, 0)","(0, 0)",0.402923714502116,"(1, 0)",0.2975250515188151,"(2, 0)",0.11642827967803046,False,True,True,75.0,0.51
"(3, 1)","(1, 0)",0.28653467653383996,"(0, 0)",0.2731946961980385,"(2, 0)",0.16975363323689055,False,False,False,75.0,0.51
"(0, 1)","(0, 0)",0.29274741580991553,"(1, 0)",0.25046449974209867,"(1, 1)",0.17429066265124293,False,False,False,75.0,0.51
"(1, 0)","(1, 0)",0.30997262309462814,"(0, 0)",0.25518979527324154,"(2, 0)",0.208811515645728,True,True,True,75.0,0.51
"(1, 0)","(0, 0)",0.3740097013547295,"(1, 0)",0.21392280604640765,"(0, 1)",0.20151064871889532,False,True,True,75.0,0.51
"(2, 0)","(0, 0)",0.39895963981959937,"(0, 1)",0.24041360751895816,"(1, 0)",0.16276578289724997,False,False,False,75.0,0.51
"(1, 0)","(0, 0)",0.32169032316910656,"(1, 0)",0.3065871848766891,"(2, 0)",0.15857787227867304,False,True,True,75.0,0.51
"(2, 1)","(0, 0)",0.268608716778977,"(1, 0)",0.22272872679023675,"(1, 1)",0.20763468095861204,False,False,False,75.0,0.51
"(2, 1)","(0, 0)",0.4391848339092656,"(1, 0)",0.2779502885038094,"(0, 1)",0.10862748171140459,False,False,False,75.0,0.51
"(1, 0)","(1, 0)",0.2627371589164652,"(2, 0)",0.2168442084522356,"(1, 1)",0.19099598347963684,True,True,True,75.0,0.51
"(1, 1)","(0, 0)",0.33121321887039823,"(1, 0)",0.23903925689664235,"(0, 1)",0.1740605433758375,False,False,False,75.0,0.51
"(1, 0)","(0, 0)",0.31278877950307893,"(1, 0)",0.21482708589211064,"(0, 1)",0.20543790761286054,False,True,True,75.0,0.51
"(0, 0)","(0, 0)",0.333834616999729,"(0, 1)",0.25119880375414677,"(1, 0)",0.15910101252963738,True,True,True,75.0,0.51
"(0, 1)","(2, 0)",0.2837047279983503,"(1, 0)",0.2319783109965213,"(3, 0)",0.22281381312307222,False,False,False,75.0,0.51
"(0, 0)","(0, 0)",0.5274042182701453,"(0, 1)",0.2232603593305253,"(1, 0)",0.13405735344572092,True,True,True,75.0,0.51
"(0, 1)","(0, 0)",0.5837840839932996,"(1, 0)",0.31434768763071164,"(2, 0)",0.08463271903787427,False,False,False,75.0,0.51
"(1, 1)","(0, 0)",0.3656154815819752,"(1, 0)",0.24095922133467765,"(0, 1)",0.16854880052253227,False,False,False,75.0,0.51
