league,actual,top1,top1_prob,top2_prob,top3_prob,top1_hit,top3_hit,top3_prob_sum,xg_home,xg_away,xg_total,xg_diff,xg_total_bucket,xg_diff_bucket
F1,"(2, 1)","(1, 0)",0.3103820851480337,0.25786879019963477,0.20711458834476848,False,False,0.775365463692437,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(1, 0)",0.2851495766553848,0.28485411121472043,0.18707407360320008,False,False,0.7570777614733053,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.7641583353123893,0.20555068451111413,0.027645503523635095,False,False,0.9973545233471386,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 0)","(0, 0)",0.42347017140833293,0.24141829032745063,0.15497973931906953,True,True,0.819868201054853,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 0)","(1, 0)",0.27255840366390366,0.24932997711945978,0.17382853450028082,True,True,0.6957169152836442,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 0)","(1, 0)",0.35352473122938366,0.30907550823738944,0.20860767841128902,True,True,0.8712079178780622,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 0)","(0, 0)",0.6485566674833894,0.2808863768984623,0.060825183582871506,False,True,0.9902682279647231,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 0)","(0, 0)",0.46863850512762517,0.35571834337965186,0.13500335379217746,False,False,0.9593602022994544,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 0)","(1, 0)",0.3280916124521608,0.24246629226961286,0.23618401113164672,False,True,0.8067419158534204,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 1)","(1, 0)",0.3109827323342127,0.2618666661840703,0.20449161083311526,False,False,0.7773410093513983,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 1)","(2, 0)",0.2811789365905771,0.24862027119505575,0.20394135987813358,False,False,0.7337405676637664,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 0)","(0, 0)",0.3323078475633496,0.23410982860964719,0.180200689517424,False,True,0.7466183656904207,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(1, 0)",0.32512080150983824,0.24905619220123765,0.22775198010188763,False,True,0.8019289738129636,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 0)","(2, 0)",0.2847549091609995,0.23351135623362687,0.22321779377204856,False,True,0.7414840591666749,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.3570695838947316,0.2661535884594399,0.13973903046970387,True,True,0.7629622028238754,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.33653522145660736,0.24402156597469363,0.16768316985349932,False,True,0.7482399572848003,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 0)","(1, 0)",0.2949117610452696,0.250142081627532,0.19694009311799907,False,True,0.7419939357908006,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 0)","(1, 0)",0.30910935025092884,0.3008870071975464,0.17340666838675323,False,True,0.7834030258352285,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(2, 1)","(0, 0)",0.4266202419953609,0.22762352043515183,0.17070572190977146,False,False,0.8249494843402843,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 1)","(0, 0)",0.36226770715079565,0.25474857052067335,0.15240578932739585,False,True,0.7694220669988647,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 0)","(1, 0)",0.319515476185824,0.29542468038269365,0.18737690686687858,True,True,0.8023170634353962,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 3)","(0, 0)",0.4145198663104934,0.22490254408033974,0.17772287681926677,False,False,0.8171452872100999,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(0, 0)","(0, 0)",0.2931602997568798,0.2858042348070475,0.15589412149241763,True,True,0.7348586560563449,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.5846977958714246,0.31392339924624174,0.08427250905524711,False,True,0.9828937041729134,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.4881973727156163,0.25284482079777587,0.11849651695705841,True,True,0.8595387104704506,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.45467113122548125,0.3589693922224515,0.1417057469706079,False,False,0.9553462704185406,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.6019393691389336,0.3056547712904057,0.07760319726738692,True,True,0.9851973376967262,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 2)","(1, 0)",0.34500181367697846,0.3430734806041274,0.18124696731923107,False,False,0.869322261600337,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(1, 0)",0.2748274369269213,0.23022615430029456,0.19251953655963333,True,True,0.6975731277868491,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 1)","(0, 0)",0.3984271531932421,0.24579351815989625,0.15642539513009207,False,False,0.8006460664832304,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 2)","(1, 0)",0.3198031140603681,0.29547128261891387,0.1876339090750683,False,False,0.8029083057543502,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 1)","(0, 0)",0.4160902350550899,0.36573256096584106,0.16073473357638746,False,False,0.9425575295973184,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(0, 0)",0.4094686499321134,0.26090585619267537,0.13606158694930662,False,True,0.8064360930740954,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(0, 0)",0.3374219317243069,0.3347164425781194,0.1754242373369706,False,True,0.8475626116393968,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 1)","(1, 0)",0.2992831531930602,0.24488329043784218,0.2032847662698704,False,False,0.7474512099007729,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(2, 0)","(0, 0)",0.4348844786332246,0.22401303761861513,0.1724611862788257,False,False,0.8313587025306655,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 2)","(0, 0)",0.2655544752153157,0.22720940414924498,0.20715252683984528,False,False,0.699916406204406,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.4070075595019224,0.22938218351699624,0.17423935119294703,False,False,0.8106290942118657,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 1)","(1, 0)",0.32243392016102496,0.26785010272293774,0.20318144769066807,False,False,0.7934654705746308,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 4)","(0, 0)",0.2624643652839276,0.21857704676850967,0.21450164199245383,False,False,0.695543054044891,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 1)","(0, 0)",0.4116301596086082,0.2276784332972933,0.17509038611579292,False,False,0.8143989790216943,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 1)","(0, 0)",0.3390266465914811,0.28737563967883695,0.1332107808065547,False,False,0.7596130670768727,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.31882721205347697,0.23392733351347042,0.18061645445365437,False,False,0.7333710000206017,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 2)","(1, 1)",0.25209552956771364,0.21870298242807876,0.17759790360549768,False,False,0.64839641560129,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.2458123026116341,0.23646425949045943,0.21431433389090415,True,True,0.6965908959929976,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.701612871141361,0.24865736661826032,0.04406310696163833,True,True,0.9943333447212596,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(1, 0)","(0, 0)",0.6982246916562301,0.25083815220793315,0.045056970453050564,False,False,0.9941198143172139,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(2, 0)","(0, 0)",0.32288104650554056,0.22578379570315643,0.19107105082392395,False,False,0.739735893032621,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
